2014-08-07 11:22:56 -- Set ruoxCoefsHigh to (-0.31994119999999998, 5.74884e-08, -8.8408999999999999e-11)
2014-08-07 11:22:56 -- Set ruoxCoefsLow to (-0.77127000000000001, 0.00010068000000000001, -1.072e-09)
2014-08-07 11:22:56 -- Set highTempRuoxCurve to <function <lambda> at 0x033CBB70>
2014-08-07 11:22:56 -- Set lowTempRuoxCurve to <function <lambda> at 0x033CBDB0>
2014-08-07 11:22:56 -- Set voltToResCalibs to (0.26000000000000001, 26.030000000000001, 37.5, 30.0, 10.0, 26.530000000000001)
2014-08-07 11:22:56 -- Set resistanceCutoff to 1725.78
2014-08-07 11:22:56 -- Set ruoxChannel to 3
2014-08-07 11:22:56 -- Set PIDintLimit to 0.4
2014-08-07 11:22:56 -- Set voltageStepUp to 0.004
2014-08-07 11:22:56 -- Set loglimit to 20
2014-08-07 11:22:56 -- Set autoRecord to True
2014-08-07 11:22:56 -- Set recordingTemp to 250
2014-08-07 11:22:56 -- Set cooldownLimit to 3.9
2014-08-07 11:22:56 -- Set switchPosition to 5
2014-08-07 11:22:56 -- Set quenchLimit to 4.0
2014-08-07 11:22:56 -- Set PIDsetTemp to 0.1
2014-08-07 11:22:56 -- Set PIDcd to 25
2014-08-07 11:22:56 -- Set PIDstepTimeout to 5
2014-08-07 11:22:56 -- Set autoControl to False
2014-08-07 11:22:56 -- Set fieldWaitTime to 45
2014-08-07 11:22:56 -- Set ruoxInterpolation to <scipy.interpolate.fitpack2.InterpolatedUnivariateSpline object at 0x033D0FD0>
2014-08-07 11:22:56 -- Set useRuoxInterpolation to True
2014-08-07 11:22:56 -- Set targetCurrent to 8.0
2014-08-07 11:22:56 -- Set rampWaitTime to 0.2
2014-08-07 11:22:56 -- Set PIDci to 0.4
2014-08-07 11:22:56 -- Set PIDcp to 1.0
2014-08-07 11:22:56 -- Set recordTemp to False
2014-08-07 11:22:56 -- Set voltageLimit to 0.14
2014-08-07 11:22:56 -- Set lockinCurrent to 1e-09
2014-08-07 11:22:56 -- Set maxCurrent to 9.0
2014-08-07 11:22:56 -- Set tempRecordDelay to 10
2014-08-07 11:22:56 -- Set voltageStepDown to 0.004
2014-08-07 11:22:56 -- Initialization completed. Beginning cycle.
2014-08-07 11:22:56 -- cycled
2014-08-07 11:22:56 -- Set alive to True
2014-08-07 11:22:56 -- Now cycling.
2014-08-07 11:22:57 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:17:29 -- None
2014-08-09 15:17:30 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:17:30 -- None
2014-08-09 15:17:31 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:17:31 -- None
2014-08-09 15:17:32 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:17:32 -- None
2014-08-09 15:17:33 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:17:33 -- None
2014-08-09 15:17:34 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:17:34 -- None
2014-08-09 15:17:35 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:17:35 -- None
2014-08-09 15:17:36 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:17:36 -- None
2014-08-09 15:17:37 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:17:37 -- None
2014-08-09 15:17:39 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:17:39 -- None
2014-08-09 15:17:40 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:17:40 -- None
2014-08-09 15:17:41 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:17:41 -- None
2014-08-09 15:17:42 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:17:42 -- None
2014-08-09 15:17:43 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:17:43 -- None
2014-08-09 15:17:44 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:17:44 -- None
2014-08-09 15:17:45 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:17:45 -- None
2014-08-09 15:17:46 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:17:46 -- None
2014-08-09 15:17:47 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:17:47 -- None
2014-08-09 15:17:48 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:17:48 -- None
2014-08-09 15:17:49 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:17:49 -- None
2014-08-09 15:17:51 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:17:51 -- None
2014-08-09 15:17:52 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:17:52 -- None
2014-08-09 15:17:53 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:17:53 -- None
2014-08-09 15:17:54 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:17:54 -- None
2014-08-09 15:17:55 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:17:55 -- None
2014-08-09 15:17:56 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:17:56 -- None
2014-08-09 15:17:57 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:17:57 -- None
2014-08-09 15:17:58 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:17:58 -- None
2014-08-09 15:17:59 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:17:59 -- None
2014-08-09 15:18:00 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:18:00 -- None
2014-08-09 15:18:01 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:18:01 -- None
2014-08-09 15:18:03 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:18:03 -- None
2014-08-09 15:18:04 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:18:04 -- None
2014-08-09 15:18:05 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:18:05 -- None
2014-08-09 15:18:06 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:18:06 -- None
2014-08-09 15:18:07 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:18:07 -- None
2014-08-09 15:18:08 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:18:08 -- None
2014-08-09 15:18:09 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:18:09 -- None
2014-08-09 15:18:10 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:18:10 -- None
2014-08-09 15:18:11 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:18:11 -- None
2014-08-09 15:18:12 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:18:12 -- None
2014-08-09 15:18:14 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:18:14 -- None
2014-08-09 15:18:15 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:18:15 -- None
2014-08-09 15:18:16 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:18:16 -- None
2014-08-09 15:18:17 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:18:17 -- None
2014-08-09 15:18:18 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:18:18 -- None
2014-08-09 15:18:19 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:18:19 -- None
2014-08-09 15:18:20 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:18:20 -- None
2014-08-09 15:18:21 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:18:21 -- None
2014-08-09 15:18:22 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:18:22 -- None
2014-08-09 15:18:23 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:18:23 -- None
2014-08-09 15:18:24 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:18:24 -- None
2014-08-09 15:18:26 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:18:26 -- None
2014-08-09 15:18:27 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:18:27 -- None
2014-08-09 15:18:28 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:18:28 -- None
2014-08-09 15:18:29 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:18:29 -- None
2014-08-09 15:18:30 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:18:30 -- None
2014-08-09 15:18:31 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:18:31 -- None
2014-08-09 15:18:32 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:18:32 -- None
2014-08-09 15:18:33 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:18:33 -- None
2014-08-09 15:18:34 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:18:34 -- None
2014-08-09 15:18:35 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:18:35 -- None
2014-08-09 15:18:36 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:18:36 -- None
2014-08-09 15:18:37 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:18:37 -- None
2014-08-09 15:18:39 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:18:39 -- None
2014-08-09 15:18:40 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:18:40 -- None
2014-08-09 15:18:41 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:18:41 -- None
2014-08-09 15:18:42 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:18:42 -- None
2014-08-09 15:18:43 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:18:43 -- None
2014-08-09 15:18:44 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:18:44 -- None
2014-08-09 15:18:45 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:18:45 -- None
2014-08-09 15:18:46 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:18:46 -- None
2014-08-09 15:18:47 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:18:47 -- None
2014-08-09 15:18:48 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:18:48 -- None
2014-08-09 15:18:49 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:18:50 -- None
2014-08-09 15:18:51 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:18:51 -- None
2014-08-09 15:18:52 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:18:52 -- None
2014-08-09 15:18:53 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:18:53 -- None
2014-08-09 15:18:54 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:18:54 -- None
2014-08-09 15:18:55 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:18:55 -- None
2014-08-09 15:18:56 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:18:56 -- None
2014-08-09 15:18:57 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:18:57 -- None
2014-08-09 15:18:58 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:18:58 -- None
2014-08-09 15:18:59 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:18:59 -- None
2014-08-09 15:19:00 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:19:00 -- None
2014-08-09 15:19:02 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:19:02 -- None
2014-08-09 15:19:03 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:19:03 -- None
2014-08-09 15:19:04 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:19:04 -- None
2014-08-09 15:19:05 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:19:05 -- None
2014-08-09 15:19:06 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:19:06 -- None
2014-08-09 15:19:07 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:19:07 -- None
2014-08-09 15:19:08 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:19:08 -- None
2014-08-09 15:19:09 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:19:09 -- None
2014-08-09 15:19:10 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:19:10 -- None
2014-08-09 15:19:11 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:19:11 -- None
2014-08-09 15:19:12 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:19:12 -- None
2014-08-09 15:19:14 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:19:14 -- None
2014-08-09 15:19:15 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:19:15 -- None
2014-08-09 15:19:16 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:19:16 -- None
2014-08-09 15:19:17 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:19:17 -- None
2014-08-09 15:19:18 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:19:18 -- None
2014-08-09 15:19:19 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:19:19 -- None
2014-08-09 15:19:20 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:19:20 -- None
2014-08-09 15:19:21 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:19:21 -- None
2014-08-09 15:19:22 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:19:22 -- None
2014-08-09 15:19:23 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:19:23 -- None
2014-08-09 15:19:24 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:19:24 -- None
2014-08-09 15:19:26 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:19:26 -- None
2014-08-09 15:19:27 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:19:27 -- None
2014-08-09 15:19:28 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:19:28 -- None
2014-08-09 15:19:29 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:19:29 -- None
2014-08-09 15:19:30 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:19:30 -- None
2014-08-09 15:19:31 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:19:31 -- None
2014-08-09 15:19:32 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:19:32 -- None
2014-08-09 15:19:33 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:19:33 -- None
2014-08-09 15:19:34 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:19:34 -- None
2014-08-09 15:19:35 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:19:35 -- None
2014-08-09 15:19:36 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:19:36 -- None
2014-08-09 15:19:38 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:19:38 -- None
2014-08-09 15:19:39 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:19:39 -- None
2014-08-09 15:19:40 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:19:40 -- None
2014-08-09 15:19:41 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:19:41 -- None
2014-08-09 15:19:42 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:19:42 -- None
2014-08-09 15:19:43 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:19:43 -- None
2014-08-09 15:19:44 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:19:44 -- None
2014-08-09 15:19:45 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:19:45 -- None
2014-08-09 15:19:46 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:19:46 -- None
2014-08-09 15:19:47 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:19:47 -- None
2014-08-09 15:19:48 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:19:48 -- None
2014-08-09 15:19:49 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:19:49 -- None
2014-08-09 15:19:51 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:19:51 -- None
2014-08-09 15:19:52 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:19:52 -- None
2014-08-09 15:19:53 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:19:53 -- None
2014-08-09 15:19:54 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:19:54 -- None
2014-08-09 15:19:55 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:19:55 -- None
2014-08-09 15:19:56 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:19:56 -- None
2014-08-09 15:19:57 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:19:57 -- None
2014-08-09 15:19:58 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:19:58 -- None
2014-08-09 15:19:59 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:19:59 -- None
2014-08-09 15:20:00 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:20:00 -- None
2014-08-09 15:20:02 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:20:02 -- None
2014-08-09 15:20:03 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:20:03 -- None
2014-08-09 15:20:04 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:20:04 -- None
2014-08-09 15:20:05 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:20:05 -- None
2014-08-09 15:20:06 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:20:06 -- None
2014-08-09 15:20:07 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:20:07 -- None
2014-08-09 15:20:08 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:20:08 -- None
2014-08-09 15:20:09 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:20:09 -- None
2014-08-09 15:20:10 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:20:10 -- None
2014-08-09 15:20:11 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:20:11 -- None
2014-08-09 15:20:12 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:20:12 -- None
2014-08-09 15:20:14 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:20:14 -- None
2014-08-09 15:20:15 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:20:15 -- None
2014-08-09 15:20:16 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:20:16 -- None
2014-08-09 15:20:17 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:20:17 -- None
2014-08-09 15:20:18 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:20:18 -- None
2014-08-09 15:20:19 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:20:19 -- None
2014-08-09 15:20:20 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:20:20 -- None
2014-08-09 15:20:21 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:20:21 -- None
2014-08-09 15:20:22 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:20:22 -- None
2014-08-09 15:20:23 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:20:23 -- None
2014-08-09 15:20:24 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:20:24 -- None
2014-08-09 15:20:26 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:20:26 -- None
2014-08-09 15:20:27 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:20:27 -- None
2014-08-09 15:20:28 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:20:28 -- None
2014-08-09 15:20:29 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:20:29 -- None
2014-08-09 15:20:30 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:20:30 -- None
2014-08-09 15:20:31 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:20:31 -- None
2014-08-09 15:20:32 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:20:32 -- None
2014-08-09 15:20:33 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:20:33 -- None
2014-08-09 15:20:34 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:20:34 -- None
2014-08-09 15:20:35 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:20:35 -- None
2014-08-09 15:20:36 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:20:36 -- None
2014-08-09 15:20:38 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:20:38 -- None
2014-08-09 15:20:39 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:20:39 -- None
2014-08-09 15:20:40 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:20:40 -- None
2014-08-09 15:20:41 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:20:41 -- None
2014-08-09 15:20:42 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:20:42 -- None
2014-08-09 15:20:43 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:20:43 -- None
2014-08-09 15:20:44 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:20:44 -- None
2014-08-09 15:20:45 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:20:45 -- None
2014-08-09 15:20:46 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:20:46 -- None
2014-08-09 15:20:47 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:20:47 -- None
2014-08-09 15:20:48 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:20:48 -- None
2014-08-09 15:20:50 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:20:50 -- None
2014-08-09 15:20:51 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:20:51 -- None
2014-08-09 15:20:52 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:20:52 -- None
2014-08-09 15:20:53 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:20:53 -- None
2014-08-09 15:20:54 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:20:54 -- None
2014-08-09 15:20:55 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:20:55 -- None
2014-08-09 15:20:56 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:20:56 -- None
2014-08-09 15:20:57 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:20:57 -- None
2014-08-09 15:20:58 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:20:58 -- None
2014-08-09 15:20:59 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:20:59 -- None
2014-08-09 15:21:00 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:21:00 -- None
2014-08-09 15:21:02 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:21:02 -- None
2014-08-09 15:21:03 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:21:03 -- None
2014-08-09 15:21:04 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:21:04 -- None
2014-08-09 15:21:05 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:21:05 -- None
2014-08-09 15:21:06 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:21:06 -- None
2014-08-09 15:21:07 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:21:07 -- None
2014-08-09 15:21:08 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:21:08 -- None
2014-08-09 15:21:09 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:21:09 -- None
2014-08-09 15:21:10 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:21:10 -- None
2014-08-09 15:21:11 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:21:11 -- None
2014-08-09 15:21:12 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:21:12 -- None
2014-08-09 15:21:14 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:21:14 -- None
2014-08-09 15:21:15 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:21:15 -- None
2014-08-09 15:21:16 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:21:16 -- None
2014-08-09 15:21:17 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:21:17 -- None
2014-08-09 15:21:18 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:21:18 -- None
2014-08-09 15:21:19 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:21:19 -- None
2014-08-09 15:21:20 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:21:20 -- None
2014-08-09 15:21:21 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:21:21 -- None
2014-08-09 15:21:22 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:21:22 -- None
2014-08-09 15:21:23 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:21:23 -- None
2014-08-09 15:21:24 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:21:24 -- None
2014-08-09 15:21:26 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:21:26 -- None
2014-08-09 15:21:27 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:21:27 -- None
2014-08-09 15:21:28 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:21:28 -- None
2014-08-09 15:21:29 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:21:29 -- None
2014-08-09 15:21:30 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:21:30 -- None
2014-08-09 15:21:31 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:21:31 -- None
2014-08-09 15:21:32 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:21:32 -- None
2014-08-09 15:21:33 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:21:33 -- None
2014-08-09 15:21:34 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:21:34 -- None
2014-08-09 15:21:35 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:21:35 -- None
2014-08-09 15:21:36 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:21:37 -- None
2014-08-09 15:21:38 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:21:38 -- None
2014-08-09 15:21:39 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:21:39 -- None
2014-08-09 15:21:40 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:21:40 -- None
2014-08-09 15:21:41 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:21:41 -- None
2014-08-09 15:21:42 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:21:42 -- None
2014-08-09 15:21:43 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:21:43 -- None
2014-08-09 15:21:44 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:21:44 -- None
2014-08-09 15:21:45 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:21:45 -- None
2014-08-09 15:21:46 -- Exception in cycle loop: Incompatible Units K, ''
2014-08-09 15:21:46 -- None
